i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
826,842,847330.0,5780.312,18676510.402,582.937,520.135,3859065.417,5780.312,81446.376,27842.861,2505.937,1488.875,58.847
826,842,854211.0,520.135,18676510.402,582.937,520.135,3859065.417,5780.312,81446.376,27842.861,2505.937,1488.875,58.847
826,842,870322.0,58.847,18676510.402,582.937,520.135,3859065.417,5780.312,81446.376,27842.861,2505.937,1488.875,58.847
826,842,870323.0,582.937,18676510.402,582.937,520.135,3859065.417,5780.312,81446.376,27842.861,2505.937,1488.875,58.847
826,842,870324.0,81446.376,18676510.402,582.937,520.135,3859065.417,5780.312,81446.376,27842.861,2505.937,1488.875,58.847
826,842,870899.0,27842.861,18676510.402,582.937,520.135,3859065.417,5780.312,81446.376,27842.861,2505.937,1488.875,58.847
392,410,271000.0,2321099.874,0.0,111.675,2113.104,2321099.874,1262.506,38.644,7323.231,5113.722,666.75,17.203
392,410,847192.0,5113.722,0.0,111.675,2113.104,2321099.874,1262.506,38.644,7323.231,5113.722,666.75,17.203
392,410,847193.0,666.75,0.0,111.675,2113.104,2321099.874,1262.506,38.644,7323.231,5113.722,666.75,17.203
392,410,847330.0,1262.506,0.0,111.675,2113.104,2321099.874,1262.506,38.644,7323.231,5113.722,666.75,17.203
392,410,854211.0,2113.104,0.0,111.675,2113.104,2321099.874,1262.506,38.644,7323.231,5113.722,666.75,17.203
392,410,870322.0,17.203,0.0,111.675,2113.104,2321099.874,1262.506,38.644,7323.231,5113.722,666.75,17.203
392,410,870323.0,111.675,0.0,111.675,2113.104,2321099.874,1262.506,38.644,7323.231,5113.722,666.75,17.203
392,410,870324.0,38.644,0.0,111.675,2113.104,2321099.874,1262.506,38.644,7323.231,5113.722,666.75,17.203
392,410,870899.0,7323.231,0.0,111.675,2113.104,2321099.874,1262.506,38.644,7323.231,5113.722,666.75,17.203
842,410,270900.0,888057.799,888057.799,5154.25,697.866,1696533.582,1184.437,2967.687,7685.673,1581.437,695.312,12.125
842,410,271000.0,1696533.582,888057.799,5154.25,697.866,1696533.582,1184.437,2967.687,7685.673,1581.437,695.312,12.125
842,410,847192.0,1581.437,888057.799,5154.25,697.866,1696533.582,1184.437,2967.687,7685.673,1581.437,695.312,12.125
842,410,847193.0,695.312,888057.799,5154.25,697.866,1696533.582,1184.437,2967.687,7685.673,1581.437,695.312,12.125
842,410,847330.0,1184.437,888057.799,5154.25,697.866,1696533.582,1184.437,2967.687,7685.673,1581.437,695.312,12.125
842,410,854211.0,697.866,888057.799,5154.25,697.866,1696533.582,1184.437,2967.687,7685.673,1581.437,695.312,12.125
842,410,870322.0,12.125,888057.799,5154.25,697.866,1696533.582,1184.437,2967.687,7685.673,1581.437,695.312,12.125
842,410,870323.0,5154.25,888057.799,5154.25,697.866,1696533.582,1184.437,2967.687,7685.673,1581.437,695.312,12.125
842,410,870324.0,2967.687,888057.799,5154.25,697.866,1696533.582,1184.437,2967.687,7685.673,1581.437,695.312,12.125
842,410,870899.0,7685.673,888057.799,5154.25,697.866,1696533.582,1184.437,2967.687,7685.673,1581.437,695.312,12.125
276,40,270900.0,15000.0,15000.0,35784.992,113.252,1421818.144,1229.575,2345.646,34398.573,4443.172,412.209,10799.51
276,40,271000.0,1421818.144,15000.0,35784.992,113.252,1421818.144,1229.575,2345.646,34398.573,4443.172,412.209,10799.51
276,40,847192.0,4443.172,15000.0,35784.992,113.252,1421818.144,1229.575,2345.646,34398.573,4443.172,412.209,10799.51
276,40,847193.0,412.209,15000.0,35784.992,113.252,1421818.144,1229.575,2345.646,34398.573,4443.172,412.209,10799.51
276,40,847330.0,1229.575,15000.0,35784.992,113.252,1421818.144,1229.575,2345.646,34398.573,4443.172,412.209,10799.51
276,40,854211.0,113.252,15000.0,35784.992,113.252,1421818.144,1229.575,2345.646,34398.573,4443.172,412.209,10799.51
276,40,870322.0,10799.51,15000.0,35784.992,113.252,1421818.144,1229.575,2345.646,34398.573,4443.172,412.209,10799.51
276,40,870323.0,35784.992,15000.0,35784.992,113.252,1421818.144,1229.575,2345.646,34398.573,4443.172,412.209,10799.51
276,40,870324.0,2345.646,15000.0,35784.992,113.252,1421818.144,1229.575,2345.646,34398.573,4443.172,412.209,10799.51
276,40,870899.0,34398.573,15000.0,35784.992,113.252,1421818.144,1229.575,2345.646,34398.573,4443.172,412.209,10799.51
842,276,270900.0,8420.5,8420.5,58049.896,1516.522,61308.915,11415.832,17748.7,33343.353,9514.0,2551.5,776.375
842,276,271000.0,61308.915,8420.5,58049.896,1516.522,61308.915,11415.832,17748.7,33343.353,9514.0,2551.5,776.375
842,276,847192.0,9514.0,8420.5,58049.896,1516.522,61308.915,11415.832,17748.7,33343.353,9514.0,2551.5,776.375
842,276,847193.0,2551.5,8420.5,58049.896,1516.522,61308.915,11415.832,17748.7,33343.353,9514.0,2551.5,776.375
842,276,847330.0,11415.832,8420.5,58049.896,1516.522,61308.915,11415.832,17748.7,33343.353,9514.0,2551.5,776.375
842,276,854211.0,1516.522,8420.5,58049.896,1516.522,61308.915,11415.832,17748.7,33343.353,9514.0,2551.5,776.375
842,276,870322.0,776.375,8420.5,58049.896,1516.522,61308.915,11415.832,17748.7,33343.353,9514.0,2551.5,776.375
842,276,870323.0,58049.896,8420.5,58049.896,1516.522,61308.915,11415.832,17748.7,33343.353,9514.0,2551.5,776.375
842,276,870324.0,17748.7,8420.5,58049.896,1516.522,61308.915,11415.832,17748.7,33343.353,9514.0,2551.5,776.375
842,276,870899.0,33343.353,8420.5,58049.896,1516.522,61308.915,11415.832,17748.7,33343.353,9514.0,2551.5,776.375
392,344,271000.0,859242.76,0.0,109927.365,8999.601,859242.76,3475.812,5005.338,2653.875,3723.927,783.576,11823.797
392,344,847192.0,3723.927,0.0,109927.365,8999.601,859242.76,3475.812,5005.338,2653.875,3723.927,783.576,11823.797
392,344,847193.0,783.576,0.0,109927.365,8999.601,859242.76,3475.812,5005.338,2653.875,3723.927,783.576,11823.797
392,344,847330.0,3475.812,0.0,109927.365,8999.601,859242.76,3475.812,5005.338,2653.875,3723.927,783.576,11823.797
392,344,854211.0,8999.601,0.0,109927.365,8999.601,859242.76,3475.812,5005.338,2653.875,3723.927,783.576,11823.797
392,344,870322.0,11823.797,0.0,109927.365,8999.601,859242.76,3475.812,5005.338,2653.875,3723.927,783.576,11823.797
392,344,870323.0,109927.365,0.0,109927.365,8999.601,859242.76,3475.812,5005.338,2653.875,3723.927,783.576,11823.797
392,344,870324.0,5005.338,0.0,109927.365,8999.601,859242.76,3475.812,5005.338,2653.875,3723.927,783.576,11823.797
392,344,870899.0,2653.875,0.0,109927.365,8999.601,859242.76,3475.812,5005.338,2653.875,3723.927,783.576,11823.797
410,842,270900.0,4595.421,4595.421,150006.944,2975.999,693818.439,1791.625,8.187,11939.902,90773.56,2114.187,95803.752
410,842,271000.0,693818.439,4595.421,150006.944,2975.999,693818.439,1791.625,8.187,11939.902,90773.56,2114.187,95803.752
410,842,847192.0,90773.56,4595.421,150006.944,2975.999,693818.439,1791.625,8.187,11939.902,90773.56,2114.187,95803.752
410,842,847193.0,2114.187,4595.421,150006.944,2975.999,693818.439,1791.625,8.187,11939.902,90773.56,2114.187,95803.752
410,842,847330.0,1791.625,4595.421,150006.944,2975.999,693818.439,1791.625,8.187,11939.902,90773.56,2114.187,95803.752
410,842,854211.0,2975.999,4595.421,150006.944,2975.999,693818.439,1791.625,8.187,11939.902,90773.56,2114.187,95803.752
410,842,870322.0,95803.752,4595.421,150006.944,2975.999,693818.439,1791.625,8.187,11939.902,90773.56,2114.187,95803.752
410,842,870323.0,150006.944,4595.421,150006.944,2975.999,693818.439,1791.625,8.187,11939.902,90773.56,2114.187,95803.752
410,842,870324.0,8.187,4595.421,150006.944,2975.999,693818.439,1791.625,8.187,11939.902,90773.56,2114.187,95803.752
410,842,870899.0,11939.902,4595.421,150006.944,2975.999,693818.439,1791.625,8.187,11939.902,90773.56,2114.187,95803.752
392,156,270900.0,9.0,9.0,25899.989,1801.927,2226474.245,10997.804,221.145,8255.128,1014.603,14.969,639.211
392,156,271000.0,2226474.245,9.0,25899.989,1801.927,2226474.245,10997.804,221.145,8255.128,1014.603,14.969,639.211
392,156,847192.0,1014.603,9.0,25899.989,1801.927,2226474.245,10997.804,221.145,8255.128,1014.603,14.969,639.211
392,156,847193.0,14.969,9.0,25899.989,1801.927,2226474.245,10997.804,221.145,8255.128,1014.603,14.969,639.211
